name,utilisation,date_authorisation,composition,group_generic
"BAVENCIO 20 mg/mL, solution à diluer pour perfusion ",,18/09/2017,['avélumab'],
"DALACINE 300 mg, gélule ",,09/07/2019,['clindamycine base'],
"ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH ",,19/07/2010,['abrotanum pour préparations homéopathiques'],
"JUNIPERUS COMMUNIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH ",,31/07/2013,['juniperus communis pour préparations homéopathiques'],
"HEMOSOL B0, solution pour hémodialyse/hémofiltration ","Classe pharmacothérapeutique  : Solutions pour hémofiltration et hémodialyse, code ATC  : B05ZB HEMOSOL B0 est utilisé dans le traitement de l’insuffisance rénale, en soins intensifs dans les hôpitaux afin de corriger le déséquilibre chimique du sang. Les traitements permettent d’éliminer les déchets accumulés dans le sang lorsque les reins ne fonctionnent pas. HEMOSOL  B0 est utilisé dans les traitements suivants chez les adultes et les enfants de tous âges :",08/07/1999,"['chlorure de sodium', 'bicarbonate de sodium', 'calcium (chlorure de) dihydraté', 'magnésium (chlorure de) hexahydraté', 'lactique (acide)']",
"HEMOLEVEN 1000 UI/10 mL, poudre et solvant pour solution injectable ","Classe pharmacothérapeutique - code ATC : B02BD HEMOLEVEN est un médicament qui appartient à la classe des antihémorragiques. La substance active est le facteur XI de coagulation humain, une protéine naturellement présente dans l’organisme. Le rôle de cette protéine est d’assurer une coagulation du sang normale et d’empêcher les saignements trop longs. HEMOLEVEN est utilisé pour compenser le manque en facteur XI de coagulation et ainsi prévenir (avant une chirurgie dans certains cas particuliers) et traiter les saignements (hémorragies) chez des patients atteints par un déficit en facteur XI. Le déficit en facteur XI est une maladie héréditaire caractérisée par un manque en une protéine appelée facteur XI de la coagulation. Ce manque entraîne des troubles de la coagulation.",21/07/1998,"['facteur XI de coagulation humain', 'Pas de substance active.']",
"EAU OXYGENEE 10 VOLUMES COOPER, solution pour application cutanée ",Ce médicament est préconisé:,27/11/2000,"[""hydrogène (peroxyde d'), solution de, à 3 pour cent""]",
"FEGENOR 140 mg, gélule ","Classe pharmacothérapeutique HYPOCHOLESTEROLEMIANTS ET HYPOTRIGLYCERIDEMIANTS /FIBRATES, code ATC : C10AB05. FEGENOR appartient à un groupe de médicaments, appelés fibrates. Ces médicaments sont utilisés pour diminuer les taux de graisses (lipides) dans le sang, comme par exemple les graisses appelées les triglycérides. FEGENOR est utilisé en complément d’un régime alimentaire pauvre en graisses et d’autres traitements non médicamenteux tels que l’exercice physique et la perte de poids afin de faire baisser les taux de graisses dans le sang. FEGENOR peut être utilisé en association avec d'autres médicaments (statines) dans le cas où le niveau de graisses dans le sang n’est pas contrôlé avec l’utilisation d’une statine en monothérapie.",13/09/2001,['fénofibrate'],
"Ca-DTPA 250 mg/mL, solution injectable ","Classe pharmacothérapeutique - code ATC : V03AB Ca-DTPA 250 mg/mL, solution injectable est utilisé localement dans le traitement des plaies contaminées et en nébulisation dans le traitement des contaminations pulmonaires par les radionucléides des éléments suivants : le plutonium, l’américium, le curium, le fer et le cobalt, pour favoriser leur élimination. Ce médicament est également utilisé par voie intraveineuse dans un but thérapeutique en cas d’autres voies de pénétration ou d’incorporation, ou dans un but de recueil pour diagnostic en cas de suspicion de contamination interne.",12/02/2008,['pentétate de calcium trisodique'],
"KANOKAD 25 UI/mL de facteur IX, poudre et solvant pour solution injectable ","Classe pharmacothérapeutique - code ATC : B02BD01 KANOKAD se présente sous la forme d'une poudre et d'un solvant pour solution injectable (flacon de 10 ou 20 mL). Les substances actives sont les facteurs de coagulation II, VII, IX et X. Ces facteurs sont des composants naturels du sang humain. Tout déficit en l'un de ces facteurs provoque des troubles de la coagulation. Il en résulte la possibilité d'hémorragies. L'administration de KANOKAD sert à combler ce déficit et, dès lors, à combattre et à prévenir les hémorragies. KANOKAD peut être utilisé pour : Le traitement des saignements ou la prévention des accidents hémorragiques périopératoires résultant :",18/11/2008,"['facteur II de coagulation humain', 'facteur VII de coagulation humain', 'facteur IX de coagulation humain', 'facteur X de coagulation humain', 'protéine S', 'protéine C humaine', 'Pas de substance active.']",
"IBUPROFENE TEVA 200 mg, comprimé enrobé ","Classe pharmacothérapeutique : AUTRES ANALGESIQUES ET ANTIPYRETIQUES - code ATC : M0AE01/N02B  Ce médicament contient un anti-inflammatoire non stéroïdien : l'ibuprofène. Il est indiqué, chez l'adulte et l'enfant de plus de 20 kg (soit environ 6 ans), dans le traitement de courte durée de la fièvre et/ou des douleurs telles que maux de tête, états grippaux, douleurs dentaires, courbatures et règles douloureuses.",30/10/2002,['ibuprofène'],
"LACOSAMIDE HIKMA 10 mg/mL, solution pour perfusion ","Classe pharmacothérapeutique : Antiépileptiques, autres antiépileptiques - code ATC : N03AX18 LACOSAMIDE HIKMA contient du lacosamide. Ce produit fait partie d’un groupe de médicaments appelés « médicaments antiépileptiques ». Ces médicaments sont utilisés pour traiter l’épilepsie.",31/05/2023,['lacosamide'],"LACOSAMIDE 10 mg/mL - VIMPAT 10 mg/mL, solution pour perfusion"
"NAROPEINE 5 mg/ml, solution injectable ","Classe pharmacothérapeutique : ANESTHESIQUE LOCAL à liaison amide. Code ATC : N01BB09. Le nom de votre médicament est NAROPEINE 5 mg/ml, solution injectable. Il contient une substance active qui est le chlorhydrate de ropivacaïne anhydre. Il appartient à une famille de médicaments appelée « anesthésiques locaux ». NAROPEINE 5 mg/ml, solution injectable est utilisé :",31/03/2004,['chlorhydrate de ropivacaïne anhydre'],"ROPIVACAÏNE (CHLORHYDRATE DE) 5 mg/ml - ROPIVACAÏNE (CHLORHYDRATE DE) MONOHYDRATE équivalant à ROPIVACAÏNE (CHLORHYDRATE DE) 5 mg/ml  - NAROPEINE 5 mg/ml, solution injectable."
"M-M-RVAXPRO poudre et solvant pour suspension injectable en seringue préremplie.Vaccin rougeoleux, des oreillons, et rubéoleux (vivant). ",,05/05/2006,"['virus de la rougeole (souche Edmonston Enders) (vivant, atténué)', 'virus des oreillons (souche Jeryl Lynn) (vivant, atténué)', 'virus de la rubéole (souche Wistar RA 27/3) (vivant, atténué)', 'Pas de substance active.']",
"QUIETILINE, comprimé quadrisécable ","Classe pharmacothérapeutique : ANXIOLYTIQUES/DERIVES DE LA BENZODIAZEPINE Ce médicament est préconisé dans le traitement de l'anxiété lorsque celle-ci s'accompagne de troubles gênants, ou en prévention et/ou traitement des manifestations liées à un sevrage alcoolique..",21/07/1998,['bromazépam'],"BROMAZEPAM 6 mg - LEXOMIL 6 mg, comprimé quadrisécable."
"OFLOXACINE ALMUS 200 mg, comprimé pelliculé sécable ","Classe pharmacothérapeutique : Fluoroquinolones ‑ code ATC : J01MA01. OFLOXACINE ALMUS est un antibiotique de la famille des quinolones, du groupe des fluoroquinolones. La substance active est l’ofloxacine. Elle agit en tuant des bactéries responsables des infections. Elle est active uniquement sur certaines souches de bactéries. OFLOXACINE ALMUS est indiqué pour traiter les infections bactériennes suivantes : (Voir rubrique 2 « Quelles sont les informations à connaître avant de prendre OFLOXACINE ALMUS 200 mg, comprimé pelliculé sécable ? »).",08/08/2006,['ofloxacine'],"OFLOXACINE 200 mg - OFLOCET 200 mg, comprimé pelliculé sécable."
"OFLOCET 200 mg, comprimé pelliculé sécable ","Classe pharmacothérapeutique : Fluoroquinolones - code ATC : J01MA01. OFLOCET est un antibiotique de la famille des quinolones, du groupe des fluoroquinolones. La substance active est l’ofloxacine. Elle agit en tuant des bactéries responsables des infections. Elle est active uniquement sur certaines souches de bactéries. OFLOCET est indiqué pour traiter les infections bactériennes suivantes : (Voir rubrique 2. « Quelles sont les informations à connaître avant de prendre OFLOCET ? »).",30/07/1986,['ofloxacine'],"OFLOXACINE 200 mg - OFLOCET 200 mg, comprimé pelliculé sécable."
"OFLOCET 1,5 mg/0,5 ml, solution auriculaire en récipient unidose ","Classe pharmacothérapeutique : Médicaments otologiques, Anti-infectieux - Code ATC : S02AA. Ce médicament est un antibiotique de la famille des quinolones. C'est une fluoroquinolone. Ce médicament est indiqué dans le traitement local de certaines otites chez l'adulte et chez l'enfant.",21/11/1995,['ofloxacine'],"OFLOXACINE 1,5 mg/0,5 ml - OFLOCET 1,5 mg/0,5 ml, solution auriculaire en récipient unidose."
"PABAL 100 microgrammes/ml, solution injectable ","Classe pharmacothérapeutique - code ATC : ocytocine et analogues La substance active de PABAL 100 microgrammes par ml, solution injectable est la carbétocine. Elle est similaire à une substance appelée ocytocine qui est produite naturellement par le corps et qui permet de contracter l’utérus pendant l’accouchement. PABAL 100 microgrammes par ml, solution injectable est utilisé chez des femmes immédiatement après un accouchement. Chez certaines femmes, après l’accouchement, l’utérus ne se contracte pas assez rapidement et le risque de saignements peut être majoré. PABAL 100 microgrammes par ml, solution injectable contracte l’utérus et réduit ainsi le risque de saignement.",06/07/2006,['carbétocine'],
"PAMIDRONATE DE SODIUM MYLAN 3 mg/ml, solution à diluer pour perfusion ","Classe pharmacothérapeutique : médicaments agissant sur la structure osseuse et la minéralisation, bisphosphonates, code ATC : M05BA03. PAMIDRONATE DE SODIUM MYLAN 3 mg/ml, solution à diluer pour perfusion est un médicament qui agit sur la formation et la destruction de l'os. Il se présente sous la forme d'une solution qui doit être administrée en perfusion intraveineuse lente (goutte-à-goutte). PAMIDRONATE DE SODIUM MYLAN 3 mg/ml, solution à diluer pour perfusion est utilisé dans trois situations :",26/08/2004,['pamidronique (acide)'],
"PAMIDRONATE DE SODIUM HOSPIRA 9 mg/mL, solution à diluer pour perfusion ","Classe pharmacothérapeutique : Médicaments agissant sur la minéralisation - Bisphosphonate, code ATC : M05BA03 PAMIDRONATE DE SODIUM HOSPIRA fait partie d'un groupe de produits appelés bisphosphonates. Son activité est due à sa fixation sur l'os et à la diminution de la destruction osseuse. Le médicament est utilisé dans le but de faire baisser les taux élevés de calcium dans le sang provoqués par les tumeurs, et de réduire la perte osseuse pouvant survenir chez les patients atteints de certains types de cancer, comme le cancer du sein ou le myélome multiple. Si vous n'êtes pas certain de la raison pour laquelle ce médicament vous est administré, interrogez votre médecin.",22/07/2002,['pamidronate de sodium'],
"PAMIDRONATE DE SODIUM HOSPIRA 6 mg/mL, solution à diluer pour perfusion ","Classe pharmacothérapeutique : Médicaments agissant sur la minéralisation - Bisphosphonate, code ATC : M05BA03 PAMIDRONATE DE SODIUM HOSPIRA fait partie d'un groupe de produits appelés bisphosphonates. Son activité est due à sa fixation sur l'os et à la diminution de la destruction osseuse. Le médicament est utilisé dans le but de faire baisser les taux élevés de calcium dans le sang provoqués par les tumeurs, et de réduire la perte osseuse pouvant survenir chez les patients atteints de certains types de cancer, comme le cancer du sein ou le myélome multiple. Si vous n'êtes pas certain de la raison pour laquelle ce médicament vous est administré, interrogez votre médecin.",22/07/2002,['pamidronate de sodium'],
"PAMIDRONATE DE SODIUM HOSPIRA 3 mg/mL, solution à diluer pour perfusion ","Classe pharmacothérapeutique : Médicaments agissant sur la minéralisation - Bisphosphonate, code ATC : M05BA03 PAMIDRONATE DE SODIUM HOSPIRA fait partie d'un groupe de produits appelés bisphosphonates. Son activité est due à sa fixation sur l'os et à la diminution de la destruction osseuse. Le médicament est utilisé dans le but de faire baisser les taux élevés de calcium dans le sangprovoqués par les tumeurs, et de réduire la perte osseuse pouvant survenir chez les patients atteints de certains types de cancer, comme le cancer du sein ou le myélome multiple. Si vous n'êtes pas certain de la raison pour laquelle ce médicament vous est administré, interrogez votre médecin.",22/07/2002,['pamidronate de sodium'],
